id_satelite,lat,lon,brilho_temp_k,confianca,bioma_alvo,data_extracao
AQUA-MODIS,-9.36019,-46.69958,380.08,94,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,-4.34105,-47.7663,372.43,100,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-6.95208,-43.71952,364.26,100,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-16.18053,-39.28009,362.74,100,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-9.35858,-46.68777,361.11,94,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,-4.34227,-47.77513,359.48,100,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-7.21701,-43.57132,359.21,99,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-15.14472,-69.74572,355.77,98,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-15.73746,-42.27358,353.67,97,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-6.94332,-43.72084,352.82,96,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-8.09748,-47.10338,351.11,90,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-8.09576,-47.09126,350.63,95,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-28.68306,-62.9221,348.9,95,🏕️ Pampa (Setor Sul),2026-07-13 13:54:30
TERRA-MODIS,-13.82499,-44.97915,348.18,95,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-18.78773,-40.17888,344.78,93,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-6.90572,-43.70856,344.35,91,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-15.47789,-41.76168,343.82,93,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-7.21572,-43.56253,343.35,90,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-16.1822,-39.2907,343.31,93,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-10.25106,-50.07709,343.24,92,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-19.37896,-59.78285,341.91,93,🐊 Pantanal (Setor Oeste),2026-07-13 13:54:30
AQUA-MODIS,-9.37025,-46.69821,339.99,89,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-11.07907,-50.0461,338.91,89,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-6.57618,-51.1011,338.7,100,🌳 Amazônia (Setor Norte),2026-07-13 13:54:30
AQUA-MODIS,-10.48656,-42.42355,337.46,87,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-6.49948,-42.22597,337.33,81,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-3.49295,-48.03614,336.14,100,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-6.1598,-45.24683,335.74,86,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-11.08484,-50.05017,335.65,87,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-19.84411,-40.25805,335.56,88,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-6.95337,-43.72829,335.38,85,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-20.59485,-58.17684,334.72,100,🐊 Pantanal (Setor Oeste),2026-07-13 13:54:30
AQUA-MODIS,-28.68155,-62.91208,334.67,89,🏕️ Pampa (Setor Sul),2026-07-13 13:54:30
TERRA-MODIS,-17.49358,-71.3558,334.6,0,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-5.08694,-40.71003,334.39,85,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-4.60945,-49.05014,333.73,100,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-10.24722,-50.07066,333.37,82,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-10.26056,-50.06891,333.19,87,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-4.80455,-45.77269,333.14,86,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,-15.47655,-41.75263,332.57,87,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-7.19992,-44.27182,332.28,82,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-20.60214,-58.16954,331.91,100,🐊 Pantanal (Setor Oeste),2026-07-13 13:54:30
TERRA-MODIS,-24.65311,-42.51541,331.82,84,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-4.81357,-45.77141,331.55,85,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,-10.08927,-40.53248,331.46,86,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,5.26062,-69.26784,331.25,85,🌳 Amazônia (Setor Norte),2026-07-13 13:54:30
AQUA-MODIS,-6.89696,-43.70987,331.0,80,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-18.86307,-41.11559,330.19,84,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-6.94461,-43.72961,329.32,69,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-10.2644,-50.07536,328.89,74,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-19.83529,-40.25956,328.49,84,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-7.4403,-44.46856,328.16,77,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-6.9307,-43.69585,328.09,64,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-10.14065,-50.14663,328.05,100,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-6.95079,-43.71075,327.39,59,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-6.86381,-43.62194,327.37,72,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-5.09705,-40.70848,327.32,78,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-9.36862,-46.68638,326.84,75,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
AQUA-MODIS,4.9031,-69.94359,326.83,82,🌳 Amazônia (Setor Norte),2026-07-13 13:54:30
AQUA-MODIS,-14.30997,-42.42867,326.74,80,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,9.68029,-63.47459,326.68,100,🌳 Amazônia (Setor Norte),2026-07-13 13:54:30
AQUA-MODIS,-11.0499,-51.18312,326.6,62,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-5.08429,-46.5704,326.49,81,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,-2.96222,-48.9962,326.39,100,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,-10.13745,-50.12637,325.7,99,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-15.73878,-42.28267,325.42,83,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
AQUA-MODIS,-23.24444,-59.87705,325.27,84,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,-10.23252,-50.06297,324.86,100,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
TERRA-MODIS,-13.02595,-41.03156,324.52,83,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-10.16165,-50.11674,324.49,92,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
TERRA-MODIS,-16.35082,-43.87967,324.43,83,🍃 Mata Atlântica (Setor Litoral),2026-07-13 13:54:30
TERRA-MODIS,-13.75801,-46.24587,324.19,83,🌾 Cerrado (Setor Central),2026-07-13 13:54:30
AQUA-MODIS,-6.45255,-42.84037,323.88,73,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
AQUA-MODIS,-15.77215,-67.75937,323.87,83,🌍 Outras Áreas / Fronteira Internacional,2026-07-13 13:54:30
TERRA-MODIS,10.0554,-64.86433,323.57,80,🌳 Amazônia (Setor Norte),2026-07-13 13:54:30
AQUA-MODIS,-5.4722,-41.29263,323.32,72,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
TERRA-MODIS,-20.59332,-58.16403,323.32,100,🐊 Pantanal (Setor Oeste),2026-07-13 13:54:30
AQUA-MODIS,-6.58316,-51.10384,323.15,78,🌳 Amazônia (Setor Norte),2026-07-13 13:54:30
AQUA-MODIS,-7.0618,-43.33149,322.77,68,🌵 Caatinga (Setor Nordeste),2026-07-13 13:54:30
